Polish,b,0.0176,
Polish,a,0.0787,
Polish,t,0.063,
Polish,u,0.027,
Polish,v,0.0035,
Polish,w,0.0285,
Polish,x,0.0009,
Polish,y,0.0307,
Polish,z,0.0318,
Polish,é,0.0001,
Polish,ó,0.0037,
Polish,ą,0.0073,
Polish,ć,0.0024,
Polish,ę,0.0095,
Polish,ł,0.0166,
Polish,ń,0.0005,
Polish,ś,0.0038,
Polish,ź,0.0004,
Polish,ż,0.0051,
Polish,j,0.0154,
Polish,k,0.0204,
Polish,l,0.0259,
Polish,m,0.0291,
Polish,n,0.0592,
Polish,o,0.0776,
Polish,p,0.0284,
Polish,q,0.0003,
Polish,r,0.0575,
Polish,s,0.0459,
Polish,i,0.0813,
Polish,h,0.0222,
Polish,g,0.0207,
Polish,f,0.0131,
Polish,e,0.0971,
Polish,d,0.0332,
Polish,c,0.0417,
